Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #04-13 ,73,Strata,1530000,20959,1947,17-MAY-2012,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
HIGH STREET CENTRE,1 North Bridge Road  #B1-57 ,30,Strata,285000,9500,883,14-MAY-2012,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
THE GOLDEN LANDMARK,390 Victoria Street  #02-01 ,19,Strata,360000,18947,1760,14-MAY-2012,Retail,99 Yrs From 30/04/1981,Resale,07,18,188061,Central Region,Rochor
SULTAN PLAZA,100 Jalan Sultan  #04-40 ,29,Strata,320000,11034,1025,14-MAY-2012,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
HIGH STREET CENTRE,1 North Bridge Road  #B1-09 ,53,Strata,700000,13208,1227,11-MAY-2012,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
SULTAN PLAZA,100 Jalan Sultan  #04-09 ,42,Strata,440000,10476,973,11-MAY-2012,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
THE GOLDEN LANDMARK,390 Victoria Street  #03-49 ,45,Strata,700000,15556,1445,10-MAY-2012,Retail,99 Yrs From 30/04/1981,Resale,07,18,188061,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #02-19 ,34,Strata,488000,14353,1333,08-MAY-2012,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
GOLDEN MILE COMPLEX,5001 Beach Road  #01-88 ,41,Strata,850000,20732,1926,07-MAY-2012,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
GOLDEN MILE TOWER,6001 Beach Road  #01-53 ,18,Strata,290000,16111,1497,07-MAY-2012,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
FORTUNE CENTRE,190 Middle Road  #01-07 ,54,Strata,2244800,41570,3862,07-MAY-2012,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
THE GOLDEN LANDMARK,390 Victoria Street  #01-72 ,37,Strata,789000,21324,1981,07-MAY-2012,Retail,99 Yrs From 30/04/1981,Resale,07,18,188061,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #B1-03 ,35,Strata,1150000,32857,3053,03-MAY-2012,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #B1-04 ,35,Strata,1150000,32857,3053,03-MAY-2012,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
HOUGANG PLAZA,1189 Upper Serangoon Road  #02-01/02 ETC ,6512,Strata,119111119,18291,1699,02-MAY-2012,Retail,99 Yrs From 01/03/1991,Resale,19,53,534785,North East Region,Hougang
PENINSULA EXCELSIOR HOTEL,5 Coleman Street  #B1-10 ,39,Strata,462000,11846,1101,02-MAY-2012,Retail,99 Yrs From 17/08/1979,Resale,06,17,179805,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-09 ,29,Strata,1326000,45724,4248,02-MAY-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-20 ,18,Strata,931200,51733,4806,02-MAY-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-14 ,34,Strata,1555500,45750,4250,02-MAY-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-02 ,22,Strata,1137600,51709,4804,02-MAY-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-08 ,27,Strata,1265900,46885,4356,30-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-06 ,19,Strata,1004652,52876,4912,30-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-22 ,29,Strata,1248000,43034,3998,30-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-05 ,16,Strata,842886,52680,4894,30-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #03-72 ,38,Strata,730000,19211,1785,30-APR-2012,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
EON SHENTON,70 Shenton Way  #01-18 ,17,Strata,860100,50594,4700,27-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
SIM LIM SQUARE,1 Rochor Canal Road  #03-13 ,51,Strata,1100000,21569,2004,27-APR-2012,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
EON SHENTON,70 Shenton Way  #01-13 ,33,Strata,1508800,45721,4248,27-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
THE RIVERWALK,20 Upper Circular Road  #01-07 ,24,Strata,533000,22208,2063,27-APR-2012,Retail,99 Yrs From 15/12/1980,Resale,01,05,058416,Central Region,Singapore River
EON SHENTON,70 Shenton Way  #01-17 ,17,Strata,860100,50594,4700,27-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EASTWOOD CENTRE,20 Eastwood Road  #01-13 ,17,Strata,460000,27059,2514,27-APR-2012,Retail,99 Yrs From 06/11/1995,Resale,16,48,486442,East Region,Bedok
PENINSULA EXCELSIOR HOTEL,5 Coleman Street  #02-09 ,55,Strata,427560,7774,722,26-APR-2012,Retail,99 Yrs From 17/08/1979,Resale,06,17,179805,Central Region,Downtown Core
PENINSULA EXCELSIOR HOTEL,5 Coleman Street  #02-10 ,354,Strata,3200400,9041,840,26-APR-2012,Retail,99 Yrs From 17/08/1979,Resale,06,17,179805,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-03 ,21,Strata,1084800,51657,4799,26-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
SULTAN PLAZA,100 Jalan Sultan  #02-19 ,50,Strata,550000,11000,1022,26-APR-2012,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
EON SHENTON,70 Shenton Way  #01-07 ,28,Strata,1309400,46764,4345,25-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-21 ,35,Strata,1508000,43086,4003,24-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-11 ,16,Strata,851400,53213,4944,24-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-10 ,16,Strata,851400,53213,4944,24-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
FORTUNE CENTRE,190 Middle Road  #01-12 ,35,Strata,1390000,39714,3690,23-APR-2012,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
TEXTILE CENTRE,200 Jalan Sultan  #03-46 ,60,Strata,549100,9152,850,20-APR-2012,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
SKYSUITES@ANSON,8 Enggor Street  #01-04 ,30,Strata,1449000,48300,4487,20-APR-2012,Retail,99 Yrs From 18/02/2008,New Sale,02,07,079718,Central Region,Downtown Core
SKYSUITES@ANSON,8 Enggor Street  #01-03 ,30,Strata,1449000,48300,4487,20-APR-2012,Retail,99 Yrs From 18/02/2008,New Sale,02,07,079718,Central Region,Downtown Core
SKYSUITES@ANSON,8 Enggor Street  #01-01 ,21,Strata,1017000,48429,4499,20-APR-2012,Retail,99 Yrs From 18/02/2008,New Sale,02,07,079718,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-01/04 ,25,Strata,1339700,53588,4978,20-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
SKYSUITES@ANSON,8 Enggor Street  #01-05 ,41,Strata,1984500,48402,4497,20-APR-2012,Retail,99 Yrs From 18/02/2008,New Sale,02,07,079718,Central Region,Downtown Core
SKYSUITES@ANSON,8 Enggor Street  #01-02 ,17,Strata,819000,48176,4476,20-APR-2012,Retail,99 Yrs From 18/02/2008,New Sale,02,07,079718,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-23 ,27,Strata,1164000,43111,4005,19-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
SQUARE 2,10 Sinaran Drive  #11-26 ,65,Strata,2250500,34623,3217,18-APR-2012,Retail,99 Yrs From 28/08/2002,Resale,11,30,307506,Central Region,Novena
SQUARE 2,10 Sinaran Drive  #11-25 ,63,Strata,2179770,34600,3214,18-APR-2012,Retail,99 Yrs From 28/08/2002,Resale,11,30,307506,Central Region,Novena
EON SHENTON,70 Shenton Way  #01-19 ,17,Strata,860100,50594,4700,18-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
EON SHENTON,70 Shenton Way  #01-12 ,16,Strata,851400,53213,4944,18-APR-2012,Retail,99 Yrs From 06/10/2011,New Sale,02,07,079118,Central Region,Downtown Core
SIM LIM SQUARE,1 Rochor Canal Road  #05-15 ,126,Strata,2205125,17501,1626,16-APR-2012,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
TEXTILE CENTRE,200 Jalan Sultan  #02-16 ,60,Strata,550000,9167,852,14-APR-2012,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
PEOPLE'S PARK COMPLEX,1 Park Road  #01-66 ,27,Strata,2600000,96296,8946,13-APR-2012,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
SIM LIM SQUARE,1 Rochor Canal Road  #03-83 ,33,Strata,2300000,69697,6475,13-APR-2012,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #03-59 ,28,Strata,1000000,35714,3318,13-APR-2012,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
